Voltage_V,Intensity_mW,Fabry-Perot_T_mW
3.5245,-0.0284055198130199,-0.36781
3.515,-0.0344598443168215,-0.36779
3.5055,-0.0348454551885789,-0.36777
3.496,-0.0405793969793557,-0.36777
3.4865,-0.0504362046338948,-0.36769
3.477,-0.0449076393054726,-0.3677
3.4675,-0.0517610806729119,-0.36765
3.458,-0.0695242538981348,-0.36763
3.4485,-0.0684310149634769,-0.36771
3.439,-0.0868269457733693,-0.36775
3.4295,-0.0779154460128724,-0.3678
3.42,-0.088382418854641,-0.36783
3.4105,-0.10183485357923,-0.3679
3.401,-0.0917522030537506,-0.36789
3.3915,-0.121840670827374,-0.36787
3.382,-0.128157342277243,-0.36785
3.3725,-0.125954246515473,-0.36786
3.363,-0.155538644579668,-0.36789
3.3535,-0.153458822478206,-0.36791
3.344,-0.167193807036292,-0.3679
3.3345,-0.184461383658563,-0.36785
3.325,-0.191920590350232,-0.36787
3.3155,-0.213574013154798,-0.36778
3.306,-0.218632212783017,-0.36775
3.2965,-0.279079023107338,-0.36772
3.287,-0.274914283188571,-0.36769
3.2775,-0.308631541206994,-0.36775
3.268,-0.34095581900641,-0.36779
3.2585,-0.346656540767541,-0.36788
3.249,-0.370717242355737,-0.3679
3.2395,-0.390237626945445,-0.36796
3.23,-0.375469417143983,-0.36794
3.2205,-0.438229359047076,-0.36785
3.211,-0.512507446169444,-0.36779
3.2015,-0.543468698724784,-0.36775
3.192,-0.497765485825258,-0.36773
3.1825,-0.518571869841574,-0.36777
3.173,-0.600266119281839,-0.36783
3.1635,-0.651955961154454,-0.36792
3.154,-0.648838927836881,-0.36797
3.1445,-0.652057487153052,-0.36788
3.135,-0.836285464180923,-0.36785
3.1255,-0.700072545674856,-0.36778
3.116,-0.745123638619755,-0.36776
3.1065,-0.79126978059398,-0.36776
3.097,-0.835677257612031,-0.36783
3.0875,-0.99426322047245,-0.36792
3.078,-1.02216452238752,-0.36794
3.0685,-0.929366474519167,-0.36796
3.059,-1.23309874276224,-0.36795
3.0495,-1.22883473194131,-0.36793
3.04,-1.2959404930785,-0.36787
3.0305,-1.12816872702861,-0.36789
3.021,-1.45135610741289,-0.3678
3.0115,-1.54623151543548,-0.36778
3.002,-1.63403258807266,-0.36776
2.9925,-1.65976246691331,-0.36787
2.983,-1.71382166872531,-0.36784
2.9735,-1.66766451228027,-0.36787
2.964,-1.59041178337963,-0.36795
2.9545,-1.75911273248688,-0.36795
2.945,-1.69178934315706,-0.36797
2.9355,-1.70617572731465,-0.368
2.926,-2.25700757164024,-0.36795
2.9165,-1.99535160594877,-0.36793
2.907,-2.0736798543726,-0.36785
2.8975,-2.17230874222332,-0.36779
2.888,-2.33551395192946,-0.36778
2.8785,-2.53670952052931,-0.36783
2.869,-2.21112912465503,-0.36791
2.8595,-2.84676204435574,-0.36796
2.85,-2.74940766944567,-0.36801
2.8405,-3.05642011527453,-0.36808
2.831,-2.78928050069613,-0.36778
2.8215,-2.94812754708186,-0.36779
2.812,-2.73024480064069,-0.36786
2.8025,-2.91799780374166,-0.3679
2.793,-3.42144830895424,-0.36799
2.7835,-3.23401165614041,-0.36801
2.774,-3.84201388421997,-0.36797
2.7645,-3.22199905930199,-0.36798
2.755,-4.15405434789434,-0.3679
